id,Name,Date (UTC),Description,Url,Tax Code
prod_SzchLB6l5b80lp,Ticket Wise - Enterprise DESC,2025-09-04 13:43,,,
prod_SzIpj4QAy8l4Q0,Ticket Wise - Basico Anual,2025-09-03 17:12,,,
prod_SzIpJgbybcopWu,Ticket Wise - Enterprise Mensal,2025-09-03 17:11,,,
prod_SzIoCGhsjjYaPU,Ticket Wise - Professional Mensal,2025-09-03 17:10,,,
prod_SzInCLsRZbGZbk,Ticket Wise - Básico Mensal,2025-09-03 17:09,,,
prod_SzImMHXP98NnpI,Pacote Ultra - 5000 atendimentos,2025-09-03 17:09,,,
prod_SzImjgqthsouME,Pacote Pro - 2000 atendimentos,2025-09-03 17:08,,,
prod_SzImsf2BMAa5VC,Pacote Plus - 1000 atendimentos,2025-09-03 17:08,,,
prod_SzIX5HnHl56rIr,Pacote Médio - 500 atendimentos,2025-09-03 16:53,,,
prod_SzIXQFx0CM1PfU,Pacote Basic - 250 atendimentos,2025-09-03 16:53,,,
prod_SzIWmHq7IVRwbP,Pacote Mini - 100 atendimentos,2025-09-03 16:53,,,
prod_SzIRybEekgrcsX,Atendente Extra Anual - Ticket Wise,2025-09-03 16:48,,,
prod_SzIRTz3lo7rwNe,Atendente Extra Mensal- Ticket Wise,2025-09-03 16:47,,,
